Metal,Ligand,BETA_1,BETA_2,BETA_3,BETA_4,Sass_1,Sass_2,Sass_3,Sass_4,BETA_reference,Sass_reference
Ag+,OH-,2,3.98,,,,,,,"Baes & Mesmer 1976, Shock et al. 1997",
Al+3,OH-,9.03,17.6,26.4,33.8,36.5,,,,"Baes & Mesmer 1976, Shock et al. 1997",Baes & Mesmer 1981
Am+3,OH-,8.31,,,,,,,,Desire et al. 1969,
AmO2+2,OH-,,,,,,,,,,
Ba+2,OH-,0.527,,,,8.8,,,,Baes & Mesmer 1976,Gimblett & Monk 1954
Be+2,OH-,8.597,14.35,18.75,18.59,,,,,"Baes & Mesmer 1976, Shock et al. 1997",
Bi+3,OH-,12.907,24.7,33.8,34.9,28.1,,,,"Baes & Mesmer 1976, Shock et al. 1997",Baes & Mesmer 1981
Bk+3,OH-,8.61,,,,,,,,Desire et al. 1969,
Ca+2,OH-,1.15,,,,12.8,,,,Baes & Mesmer 1976,Baes & Mesmer 1981
Cd+2,OH-,3.917,,,,16.1,,,,Baes & Mesmer 1976,Baes & Mesmer 1981
Ce+3,OH-,5.7,,,,,,,,Baes & Mesmer 1976,
Ce+4,OH-,12.69,,,,,,,,Baes & Mesmer 1976,
Cf+3,OH-,8.61,,,,,,,,Desire et al. 1969,
Cm+3,OH-,8.31,,,,,,,,Desire et al. 1969,
Co+2,OH-,4.347,9.16,10.48,9.62,19.6,,,,"Baes & Mesmer 1976, Shock et al. 1997",Shock et al. 1997
Co+3,OH-,13.71,,,,47.1,,,,Conocchioli et al. 1966,Baes & Mesmer 1981
Cr+2,OH-,9.18,,,,,,,,Micskei et al. 1983,
Cr+3,OH-,9.997,18.32,23.97,28.6,33.5,,,,"Baes & Mesmer 1976, Shock et al. 1997",Baes & Mesmer 1981
Cu+2,OH-,5.997,13.2,14.4,14.6,11,,,,"Baes & Mesmer 1976, Shock et al. 1997",Burkov et al. 1982
Dy+3,OH-,6,11.9,17.16,22.5,,,,,"Baes & Mesmer 1976, Haas et al. 1995",
Er+3,OH-,6.1,12.04,17.64,23.4,,,,,"Baes & Mesmer 1976, Haas et al. 1995",
Eu+3,OH-,6.2,6.1,11.62,16.58,,,,,"Baes & Mesmer 1976, Haas et al. 1995",
Fe+2,OH-,4.497,,,,17.9,,,,Baes & Mesmer 1976,Shock et al. 1997
Fe+3,OH-,11.807,22.34,29.97,34.36,43.5,,,,"Baes & Mesmer 1976, Shock et al. 1997",Baes & Mesmer 1981
Ga+3,OH-,11.397,,,,37,,,,Baes & Mesmer 1976,Uchida & Okuwaki 1998
Gd+3,OH-,6,11.62,16.71,21.6,,,,,"Baes & Mesmer 1976, Haas et al. 1995",
Hf+4,OH-,13.75,25.6,36,45.3,,,,,"Baes & Mesmer 1976, Shock et al. 1997",
Hg+2,OH-,10.6,,,,28,,,,Baes & Mesmer 1976,Baes & Mesmer 1981
Ho+3,OH-,6,11.93,17.43,,,,,,"Baes & Mesmer 1976, Haas et al. 1995",
In+3,OH-,10,20.16,29.54,33.94,,,,,"Baes & Mesmer 1976, Shock et al. 1997",
